title,description,handle,status,price,currency_code,sku,weight,category_id,thumbnail,images,option1_name,option1_values,option2_name,option2_values,variant_title,variant_sku,variant_price,variant_option1,variant_option2
"Classic Cotton T-Shirt","Comfortable everyday cotton t-shirt made from 100% organic cotton","classic-cotton-tshirt","draft","","myr","","200","","","","Size","S|M|L|XL","Color","White|Black|Navy","Small White","TSHIRT-S-WHT","45","S","White"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Small Black","TSHIRT-S-BLK","45","S","Black"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Small Navy","TSHIRT-S-NVY","45","S","Navy"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Medium White","TSHIRT-M-WHT","45","M","White"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Medium Black","TSHIRT-M-BLK","45","M","Black"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Medium Navy","TSHIRT-M-NVY","45","M","Navy"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Large White","TSHIRT-L-WHT","48","L","White"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Large Black","TSHIRT-L-BLK","48","L","Black"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","Large Navy","TSHIRT-L-NVY","48","L","Navy"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","XL White","TSHIRT-XL-WHT","50","XL","White"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","XL Black","TSHIRT-XL-BLK","50","XL","Black"
"Classic Cotton T-Shirt","","","","","","","","","","","","","","","XL Navy","TSHIRT-XL-NVY","50","XL","Navy"
"Wireless Bluetooth Earbuds","Premium wireless earbuds with noise cancellation and 24-hour battery life","wireless-bluetooth-earbuds","draft","199","myr","EARBUDS-001","50","","","","","","","","","","","",""
"Leather Wallet","Genuine leather bifold wallet with RFID protection","leather-wallet","draft","89","myr","WALLET-001","150","","","","Color","Brown|Black","","","Brown","WALLET-BRN","89","Brown",""
"Leather Wallet","","","","","","","","","","","","","","","Black","WALLET-BLK","89","Black",""
"Stainless Steel Water Bottle","Insulated water bottle keeps drinks cold for 24 hours","steel-water-bottle","draft","","myr","","350","","","","Size","500ml|750ml|1L","","","500ml","BOTTLE-500","35","500ml",""
"Stainless Steel Water Bottle","","","","","","","","","","","","","","","750ml","BOTTLE-750","42","750ml",""
"Stainless Steel Water Bottle","","","","","","","","","","","","","","","1L","BOTTLE-1000","49","1L",""
"Yoga Mat Premium","Extra thick 6mm yoga mat with carrying strap","yoga-mat-premium","draft","65","myr","YOGA-001","800","","","","","","","","","","","",""
"Running Shoes Pro","Lightweight running shoes with responsive cushioning","running-shoes-pro","draft","","myr","","400","","","","Size","US7|US8|US9|US10|US11","Color","Black|White","US7 Black","SHOES-7-BLK","289","US7","Black"
"Running Shoes Pro","","","","","","","","","","","","","","","US7 White","SHOES-7-WHT","289","US7","White"
"Running Shoes Pro","","","","","","","","","","","","","","","US8 Black","SHOES-8-BLK","289","US8","Black"
"Running Shoes Pro","","","","","","","","","","","","","","","US8 White","SHOES-8-WHT","289","US8","White"
"Running Shoes Pro","","","","","","","","","","","","","","","US9 Black","SHOES-9-BLK","289","US9","Black"
"Running Shoes Pro","","","","","","","","","","","","","","","US9 White","SHOES-9-WHT","289","US9","White"
"Running Shoes Pro","","","","","","","","","","","","","","","US10 Black","SHOES-10-BLK","289","US10","Black"
"Running Shoes Pro","","","","","","","","","","","","","","","US10 White","SHOES-10-WHT","289","US10","White"
"Running Shoes Pro","","","","","","","","","","","","","","","US11 Black","SHOES-11-BLK","289","US11","Black"
"Running Shoes Pro","","","","","","","","","","","","","","","US11 White","SHOES-11-WHT","289","US11","White"
"Organic Green Tea","Premium organic green tea leaves from Japan, 100g pack","organic-green-tea","draft","28","myr","TEA-GRN-001","100","","","","","","","","","","","",""
"Bamboo Cutting Board","Eco-friendly bamboo cutting board set of 3","bamboo-cutting-board","draft","55","myr","BOARD-001","1200","","","","","","","","","","","",""
"USB-C Hub 7-in-1","Multi-port USB-C hub with HDMI, USB 3.0, and SD card reader","usbc-hub-7in1","draft","79","myr","HUB-001","120","","","","","","","","","","","",""
"Scented Candle Set","Set of 3 hand-poured soy candles in lavender, vanilla, and jasmine","scented-candle-set","draft","45","myr","CANDLE-SET","600","","","","","","","","","","","",""
"Desk Organizer","Wooden desk organizer with multiple compartments","desk-organizer","draft","39","myr","DESK-ORG-001","450","","","","","","","","","","","",""
